#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:7
BfQvP%k~89	Basic (SnykCollab / andrew.mathes@snyk.io)	SnykAdjacent::Cloud::Providers::AWS::Acronyms	"AWS acronym:&nbsp;<b><span style=""font-weight: 400;"">CDK</span></b>"	Cloud Development Kit	71fa98c8-4630-4072-a564-dacb93844b4b	AnkiHub_Subdeck::SnykCollab::Acronyms
"mfR@pu88#-"	Basic	SnykAdjacent::Cloud::Providers::AWS	"AWS:&nbsp;<b><span style=""font-weight: 400;"">IAM policies&nbsp;</span></b><b><span style=""font-weight: 400;"">created and&nbsp;</span></b><b><span style=""font-weight: 400;"">managed by AWS users.</span></b>"	<b>Customer Managed Policy</b>		
i,8[CUHoxx	Basic	SnykAdjacent::Cloud::Providers::AWS	"AWS:&nbsp;<b><span style=""font-weight: 400;"">&nbsp;IAM policies that are created and maintained by AWS. All accounts have some default AWS-managed policies that are free to use.</span></b>"	<b>AWS Managed Policy</b>		
yviE[;m?2r	Basic	SnykAdjacent::Cloud::Providers::AWS	"AWS:&nbsp;<b><span style=""font-weight: 400;"">a system to check the status of your EC2 instance or an application running on the EC2 instance</span></b>"	<b>Health Checks</b>		
K|3`vC?VyQ	Basic	SnykAdjacent::Cloud::Providers::AWS	AWS: data centers for AWS Services to perform certain actions. For example, CloudFront uses these to cache your static data and decrease the latency of your application.<b><br></b>	<b>Edge Locations</b>		
eAc_Xbt)2N	Basic	SnykAdjacent::Cloud::Providers::AWS	"AWS: term usually referring to<b><span style=""font-weight: 400;"">&nbsp;the virtual block storage devices provisioned from EBS service</span></b>"	"<b><span style=""font-weight: 400;"">&nbsp;Volume</span></b>"		
CZ12zavqDl	Basic	SnykAdjacent::Cloud::Providers::AWS	"AWS:&nbsp;<b><span style=""font-weight: 400;"">a webpage that shows up-to-the-minute information about the availability of AWS Services. You can go to the service health dashboard and check if there is an outage in the AWS regions</span></b>"	<b>Service Health Dashboard</b>		
w$AIF&P4P{	Basic	SnykAdjacent::Cloud::Providers::AWS	"AWS:&nbsp;<b><span style=""font-weight: 400;"">can be considered the same as the template for the root device of a computer. It contains the operating system and other&nbsp;software that you want to be installed in your EC2 instances right from the provisioning.</span></b>"	"<b><span style=""font-weight: 400;"">Amazon Machine Image or an AMI</span></b>"		
rTO4tT(%n]	Basic	SnykAdjacent::Cloud::Providers::AWS::Acronyms	"AWS Acronym:&nbsp;<b><span style=""font-weight: 400;"">AMI</span></b>"	"<b><span style=""font-weight: 400;"">Amazon Machine Image</span></b>"		
jEF~}T@mld	Basic	SnykAdjacent::Cloud::Providers::AWS	"AWS:&nbsp;<b><span style=""font-weight: 400;"">&nbsp;a standard way to refer to a resource in AWS. All AWS resources have a unique one.</span></b>"	"<b>Amazon Resource Name:&nbsp;<span style=""font-weight: 400;"">ARN</span></b>"		
J0n)BPwG@O	Basic	SnykAdjacent::Cloud::Providers::AWS::Acronyms	"AWS Acronym:&nbsp;<b><span style=""font-weight: 400;"">ARN</span></b>"	<b>Amazon Resource Name</b>		
uPXw$tl1y}	Basic	SnykAdjacent::Cloud::Providers::AWS	"AWS:&nbsp;<b><span style=""font-weight: 400;"">a distinct data center in a&nbsp;</span><span style=""font-weight: 400; font-style: italic;"">Region</span><span style=""font-weight: 400;"">. Each one is isolated from failures in others in the region. Hence spreading your application servers across is the recommended approach for high availability requirements.</span></b>"	"<b><span style=""font-weight: 400;"">Availability Zone, also sometimes called AZ</span></b>"		
B2mvci{D4F	Basic	SnykAdjacent::Cloud::Providers::AWS	"AWS:&nbsp;<b><span style=""font-weight: 400;"">is a logical group of multiple EC2 instances that share similar characteristics and support one application. As the name suggests, they can scale up and down automatically based on&nbsp;</span><span style=""font-weight: 400; font-style: italic;"">EC2 AutoScaling Polic</span><span style=""font-weight: 400;"">ies.</span></b>"	"<b><span style=""font-weight: 400;"">Auto Scaling Group, also called ASG</span></b>"		
y-[Cs]`+r9	Basic	SnykAdjacent::Cloud::Providers::AWS::Acronyms	"AWS Acronym:&nbsp;<b><span style=""font-weight: 400;"">ASG</span></b>"	"<b><span style=""font-weight: 400;"">Auto Scaling Group</span></b>"		
IuPL[l+_ub	Basic	SnykAdjacent::Cloud::Providers::AWS	"AWS:&nbsp;<b><span style=""font-weight: 400;"">a downloadable and configurable tool that can be used to control, provision, and maintain cloud resources using commands.</span></b>"	"<b>AWS Command Line Interface:&nbsp;<span style=""font-weight: 400;"">AWS CLI</span></b>"		
fx+SBc+SNq	Basic	SnykAdjacent::Cloud::Providers::AWS	"AWS:&nbsp;<b><span style=""font-weight: 400;"">&nbsp;is a software package that provides APIs to connect Applications with AWS services.&nbsp;</span></b>"	"<b>AWS Software Development<span style=""font-weight: 400;"">&nbsp;Kit: An AWS SDK</span></b>"		
re{oH7i+ec	Basic	SnykAdjacent::Cloud::Providers::AWS	"AWS:&nbsp;<b><span style=""font-weight: 400;"">A storage device that supports reading and writing data in fixed-size blocks</span></b>"	<b>Block Device</b>		
"b1W,Q#@UZ!"	Basic	SnykAdjacent::Cloud::Providers::AWS	"Networking:&nbsp;<b><span style=""font-weight: 400;"">are&nbsp;groups of IP addresses that share the same prefix. For example, 10.0.0.0/8 is one that has all the IP addresses starting from 10.0.0.0 to 10.255.255.255.</span></b>"	<b>CIDR block</b>		
oW`>quQNko	Basic	SnykAdjacent::Cloud::Providers::AWS	"AWS:&nbsp;<b><span style=""font-weight: 400;"">The process of permitting users in another AWS account to use resources in your account. For example, you might want a user in a different account to access some data in your S3 bucket.</span></b>"	<b>Cross-account Access</b>		
z@NiQ8/[l$	Basic	SnykAdjacent::Cloud::Providers::AWS	"AWS:<b><span style=""font-weight: 400;"">&nbsp;a feature of AWS S3 to asynchronously replicate changes in a bucket in one region to another bucket in a different AWS region. Note that this term may also be generally used to specify sharing of data to different AWS regions.</span></b>"	"<b>Cross-Region replication:&nbsp;<span style=""font-weight: 400;"">Cross-Region Replication or CRR</span></b>"		
p^18H@iq[_	Basic	SnykAdjacent::Cloud::Providers::AWS::Acronyms	"AWS Acronym:&nbsp;<b><span style=""font-weight: 400;"">CRR</span></b>"	"<b><span style=""font-weight: 400;"">Cross-Region Replication</span></b>"		
i8dN*|F+Ig	Basic	SnykAdjacent::Cloud::Providers::AWS	"AWS:<b><span style=""font-weight: 400;"">&nbsp;the encryption keys managed by the AWS Key Management Service.</span></b>"	<b>Customer Master Key: CMKs&nbsp;</b>		
L!P@EBN$jA	Basic	SnykAdjacent::Cloud::Providers::AWS::Acronyms	AWS Acronym:&nbsp;<b>CMKs&nbsp;</b>	<b>Customer Master Key(s)</b>		
D3]6Yn*9o+	Basic	SnykAdjacent::Cloud::Providers::AWS	"AWS:&nbsp;<b><span style=""font-weight: 400;"">&nbsp;logical groups of IAM users. Simplifies attaching policies to multiple users.</span></b>"	<b>IAM group</b>		
o4RKjx*L.R	Basic	SnykAdjacent::Cloud::Providers::AWS	"AWS:&nbsp;<b><span style=""font-weight: 400;"">a tool in IAM that allows you to test and troubleshoot IAM policies.</span></b>"	<b>IAM policy simulator</b>		
FK!b=[5mx~	Basic	SnykAdjacent::Cloud::Providers::AWS	"AWS:&nbsp;<b><span style=""font-weight: 400;"">an entity used to give access to AWS Services. For example, you can create a policy with S3 read permissions and attach this policy to one.&nbsp;</span></b>"	<b>IAM role</b>		
"Box32P#r*["	Basic	SnykAdjacent::Cloud::Providers::AWS	"AWS:&nbsp;<b><span style=""font-weight: 400;"">a virtual device that can be attached to VPCs to give internet access to resources created within VPCs.</span></b>"	<b>Internet Gateway</b>		
KV`)q<R/oT	Basic	SnykAdjacent::Cloud::Providers::AWS	"AWS:&nbsp;<b><span style=""font-weight: 400;"">a virtual device/machine used to distribute requests to multiple endpoints like databases, EC2 instances, on-prem servers, and more.</span></b>"	<b>Load Balancer</b>		
Anwx$]O}.-	Basic	SnykAdjacent::Cloud::Providers::AWS	"AWS:&nbsp;<b><span style=""font-weight: 400;"">the entity addressed in Policies. For example, in a scenario where you give an IAM user permission to perform read operations on an S3 bucket, the IAM user is it. It can be a user, service, or a different AWS account.</span></b>"	"<b>Principal<span style=""font-weight: 400;"">&nbsp;</span></b>"		
q`[nz+H}NW	Basic	SnykAdjacent::Cloud::Providers::AWS	"AWS:<b><span style=""font-weight: 400;"">&nbsp;a feature of load balancers to route all requests from one user session to a specific EC2 instance.</span></b>"	<b>Sticky session</b>		
